Name,Resonance (km),a_moon (km),n (s^-1),kappa (s^-1)
"Mimas 2:1",117553.7087306000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 3:1",90198.10314170000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 4:1",74891.93556681000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 3:2",141892.2076736000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 4:2",117347.0910118000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 5:2",101311.2156958000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 5:3",132297.9642133000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 6:3",117277.6997867000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 6:4",141826.9931192000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 7:4",128068.6926208000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 8:5",135879.3588910000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Mimas 9:6",141805.1943913000,185535.9963519000,7.716505688938000e-05,7.696286669202000e-05
"Enceladus 3:1",115207.1340210000,238036.0405792000,5.307334066507000e-05,5.298932154696000e-05
"Enceladus 4:1",95431.26388827999,238036.0405792000,5.307334066507000e-05,5.298932154696000e-05
"Enceladus 5:2",129678.3756230000,238036.0405792000,5.307334066507000e-05,5.298932154696000e-05
"Tethys 4:1",117714.9112270000,294673.5554513000,3.852206559327000e-05,3.848238966308000e-05
"Titan 1:0",77846.64718312000,1221765.666890000,4.560677891602000e-06,4.560406065808000e-06
"Titan 2:0",64683.36798880000,1221765.666890000,4.560677891602000e-06,4.560406065808000e-06
"Hyperion 1:0",84196.65180494000,1480799.140045000,3.417928028185000e-06,3.417789364331000e-06
"Hyperion 2:0",69823.10505124999,1480799.140045000,3.417928028185000e-06,3.417789364331000e-06
"Iapetus 1:0",121195.8539999000,3560554.728693000,9.166918290146000e-07,9.166853976618000e-07
"Iapetus 2:0",99928.29063723001,3560554.728693000,9.166918290146000e-07,9.166853976618000e-07
"Iapetus 3:0",89359.69655275000,3560554.728693000,9.166918290146000e-07,9.166853976618000e-07
"Janus 2:1",96248.08274193000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 3:1",74061.74347618000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 3:2",115959.7259607000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 4:2",95992.93630935000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 5:2",82954.89908221000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 4:3",125267.9298869000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 5:3",108131.8763989000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 6:3",95906.90598508000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 5:4",130701.5731476000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 6:4",115879.1005145000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 7:4",104677.1825540000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 6:5",134265.7839588000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 7:5",121264.1258430000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 8:5",111030.2022861000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 7:6",136784.5132545000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 8:6",125228.2219067000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 9:6",115852.1111726000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 8:7",138659.2161133000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 9:7",128269.7551514000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 10:7",119640.2342269000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
"Janus 9:8",140109.0260846000,151461.8020485000,0.0001046872086480000,0.0001042726512399000
